longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,households_per_capita
-115.55,32.98,33.0,2266.0,365.0,952,360,5,143000.0,0.37815126050420167
-115.55,32.98,24.0,2565.0,530.0,1447,473,3,80800.0,0.32688320663441606
-115.55,32.82,34.0,1540.0,316.0,1013,274,3,67500.0,0.2704837117472853
-115.55,32.8,23.0,666.0,142.0,580,160,2,61000.0,0.27586206896551724
-115.55,32.79,23.0,1004.0,221.0,697,201,2,59600.0,0.2883787661406026
-115.55,32.79,22.0,565.0,162.0,692,141,1,53600.0,0.203757225433526
-115.55,32.78,5.0,2652.0,606.0,1767,536,3,84300.0,0.30333899264289754
-115.56,32.96,21.0,2164.0,480.0,1164,421,4,107200.0,0.36168384879725085
-115.56,32.8,28.0,1672.0,416.0,1335,397,2,59400.0,0.2973782771535581
-115.56,32.8,25.0,1311.0,375.0,1193,351,2,63900.0,0.2942162615255658
-115.56,32.8,15.0,1171.0,328.0,1024,298,1,69400.0,0.291015625
-115.56,32.79,20.0,2372.0,835.0,2283,767,1,62500.0,0.33596145422689444
-115.56,32.79,18.0,1178.0,438.0,1377,429,1,58300.0,0.3115468409586057
-115.56,32.78,46.0,2511.0,490.0,1583,469,3,70800.0,0.2962728995578016
-115.56,32.78,35.0,1185.0,202.0,615,191,5,86200.0,0.3105691056910569
-115.56,32.78,29.0,1568.0,283.0,848,245,3,76200.0,0.28891509433962265
-115.56,32.76,15.0,1278.0,217.0,653,185,4,140300.0,0.2833078101071976
-115.57,32.85,33.0,1365.0,269.0,825,250,3,62300.0,0.30303030303030304
-115.57,32.85,17.0,1039.0,256.0,728,246,2,63500.0,0.33791208791208793
-115.57,32.84,29.0,1207.0,301.0,804,288,2,61100.0,0.3582089552238806
-115.57,32.83,31.0,1494.0,289.0,959,284,4,67500.0,0.2961418143899896
-115.57,32.8,16.0,2276.0,594.0,1184,513,2,93800.0,0.43327702702702703
-115.57,32.79,34.0,1152.0,208.0,621,208,4,73600.0,0.33494363929146537
-115.57,32.78,20.0,1534.0,235.0,871,222,6,97200.0,0.25487944890929964
-115.57,32.78,15.0,1413.0,279.0,803,277,4,87500.0,0.3449564134495641
-115.58,33.88,21.0,1161.0,282.0,724,186,3,71700.0,0.2569060773480663
-115.58,32.81,5.0,805.0,143.0,458,143,4,96300.0,0.31222707423580787
-115.58,32.81,10.0,1088.0,203.0,533,201,4,87500.0,0.3771106941838649
-115.58,32.79,14.0,1687.0,507.0,762,451,2,64400.0,0.5918635170603674
-115.58,32.78,5.0,2494.0,414.0,1416,421,6,110100.0,0.297316384180791
-115.59,32.85,20.0,1608.0,274.0,862,248,5,90800.0,0.2877030162412993
-115.59,32.79,8.0,2183.0,307.0,1000,287,6,159900.0,0.287
-115.59,32.69,30.0,935.0,177.0,649,148,3,94400.0,0.2280431432973806
-115.6,33.2,37.0,709.0,187.0,390,142,2,72500.0,0.3641025641025641
-115.6,32.87,3.0,1629.0,317.0,1005,312,4,83200.0,0.31044776119402984
-115.62,33.04,20.0,1121.0,244.0,766,230,2,62000.0,0.3002610966057441
-115.62,33.04,17.0,1009.0,231.0,745,217,2,61200.0,0.2912751677852349
-115.64,32.8,23.0,1228.0,235.0,569,235,3,125000.0,0.4130052724077329
-115.69,32.79,18.0,1564.0,340.0,1161,343,2,55200.0,0.2954349698535745
-115.72,32.75,16.0,348.0,99.0,123,54,2,87500.0,0.43902439024390244
-115.73,33.36,19.0,749.0,238.0,476,169,2,50000.0,0.3550420168067227
-115.73,33.35,23.0,1586.0,448.0,338,182,1,30000.0,0.5384615384615384
-115.73,33.09,27.0,452.0,103.0,258,61,3,87500.0,0.2364341085271318
-115.73,32.8,44.0,472.0,81.0,206,57,2,93800.0,0.2766990291262136
-115.8,33.26,2.0,96.0,18.0,30,16,5,47500.0,0.5333333333333333
-115.84,33.49,20.0,1660.0,379.0,637,250,2,68900.0,0.3924646781789639
-115.85,34.2,34.0,3868.0,1257.0,890,423,1,41000.0,0.4752808988764045
-115.88,32.93,15.0,208.0,49.0,51,20,4,32500.0,0.39215686274509803
-115.9,33.34,19.0,1210.0,248.0,329,155,2,62800.0,0.47112462006079026
-115.91,33.36,15.0,459.0,95.0,160,73,1,67500.0,0.45625
-115.93,35.55,18.0,1321.0,272.0,754,226,3,67500.0,0.29973474801061006
-115.94,33.38,5.0,186.0,43.0,41,21,3,58800.0,0.5121951219512195
-115.95,33.28,12.0,99.0,25.0,37,17,2,53800.0,0.4594594594594595
-115.96,33.3,27.0,322.0,81.0,112,57,1,54400.0,0.5089285714285714
-115.98,33.32,8.0,240.0,46.0,63,24,1,53800.0,0.38095238095238093
-115.99,33.4,15.0,1945.0,536.0,515,273,2,54300.0,0.5300970873786408
-116.0,33.19,16.0,245.0,57.0,81,33,1,51300.0,0.4074074074074074
-116.0,32.74,26.0,1134.0,280.0,329,158,1,43900.0,0.48024316109422494
-116.01,33.51,24.0,2985.0,958.0,4042,905,2,66400.0,0.2238990598713508
-116.01,33.41,20.0,1996.0,515.0,659,295,3,62800.0,0.44764795144157815
-116.02,34.18,8.0,569.0,97.0,312,96,4,94500.0,0.3076923076923077
-116.05,34.12,19.0,301.0,65.0,150,56,3,65600.0,0.37333333333333335
-116.05,33.33,17.0,290.0,94.0,135,57,2,81300.0,0.4222222222222222
-116.06,34.2,29.0,1202.0,290.0,383,156,1,66900.0,0.4073107049608355
-116.06,34.15,15.0,10377.0,2331.0,4507,1807,2,66800.0,0.40093188373641003
-116.08,33.86,16.0,381.0,89.0,182,75,2,76100.0,0.41208791208791207
-116.09,34.15,13.0,9444.0,1997.0,4166,1482,3,65600.0,0.3557369179068651
-116.11,33.64,20.0,1273.0,354.0,1548,355,2,84700.0,0.229328165374677
-116.12,33.53,17.0,2421.0,820.0,2971,685,2,100000.0,0.2305621003029283
-116.14,34.22,32.0,3298.0,1228.0,763,360,2,47800.0,0.47182175622542594
-116.15,34.14,18.0,3312.0,705.0,1251,512,3,82600.0,0.40927258193445243
-116.15,33.69,22.0,197.0,54.0,331,70,3,112500.0,0.21148036253776434
-116.15,33.64,10.0,1711.0,499.0,1896,443,2,65400.0,0.23364978902953587
-116.16,33.68,12.0,1230.0,277.0,1334,260,2,61400.0,0.19490254872563717
-116.17,33.67,18.0,3585.0,800.0,3873,788,3,65900.0,0.2034598502452879
-116.17,33.66,22.0,639.0,203.0,664,153,2,47500.0,0.23042168674698796
-116.17,33.53,13.0,1713.0,512.0,1978,442,2,58600.0,0.22345803842264914
-116.18,33.69,17.0,89.0,19.0,79,21,2,155000.0,0.26582278481012656
-116.18,33.67,25.0,2888.0,654.0,2940,660,2,66700.0,0.22448979591836735
-116.19,33.67,16.0,1859.0,476.0,1994,477,2,67500.0,0.23921765295887662
-116.2,33.7,26.0,2399.0,625.0,2654,535,2,60600.0,0.2015825169555388
-116.2,33.63,23.0,1152.0,273.0,1077,235,2,96300.0,0.2181987000928505
-116.2,32.64,28.0,1608.0,409.0,567,254,1,61800.0,0.4479717813051146
-116.21,33.75,22.0,894.0,192.0,830,202,3,68200.0,0.2433734939759036
-116.21,33.72,28.0,2488.0,714.0,2891,676,2,68900.0,0.2338291248702871
-116.21,33.71,19.0,3114.0,787.0,3157,772,2,82200.0,0.244535951853025
-116.21,33.68,34.0,584.0,176.0,625,166,2,100000.0,0.2656
-116.21,33.66,19.0,1596.0,295.0,1201,282,4,100900.0,0.23480432972522897
-116.22,36.0,14.0,1372.0,386.0,436,213,1,32900.0,0.48853211009174313
-116.22,34.21,23.0,1175.0,468.0,355,151,2,42500.0,0.4253521126760563
-116.22,33.74,26.0,4120.0,858.0,2918,815,3,69400.0,0.27930089102124744
-116.22,33.73,38.0,1695.0,352.0,1279,305,2,68500.0,0.23846755277560594
-116.22,33.72,28.0,826.0,258.0,979,245,2,58800.0,0.25025536261491316
-116.22,33.7,9.0,3861.0,849.0,825,401,3,124700.0,0.4860606060606061
-116.23,33.73,29.0,1133.0,221.0,918,239,3,72100.0,0.26034858387799564
-116.23,33.72,32.0,4981.0,1326.0,3779,1186,2,76900.0,0.3138396401164329
-116.23,33.71,17.0,4874.0,1349.0,5032,1243,2,90000.0,0.24701907790143085
-116.24,33.73,14.0,2774.0,566.0,1530,505,3,104100.0,0.3300653594771242
-116.24,33.72,25.0,5236.0,1039.0,2725,935,4,93400.0,0.3431192660550459
-116.24,33.71,10.0,9033.0,2224.0,5525,1845,3,95000.0,0.3339366515837104
-116.25,33.81,24.0,880.0,187.0,507,169,3,67500.0,0.3333333333333333
-116.25,33.75,33.0,278.0,91.0,375,81,2,50000.0,0.216
-116.25,33.69,5.0,1664.0,444.0,907,374,3,92900.0,0.412348401323043
-116.26,33.65,3.0,7437.0,1222.0,574,302,10,382400.0,0.5261324041811847
-116.26,33.07,17.0,934.0,284.0,452,184,2,83700.0,0.40707964601769914
-116.27,34.13,37.0,452.0,109.0,184,59,4,65800.0,0.32065217391304346
-116.29,33.74,6.0,12991.0,2555.0,4571,1926,5,199300.0,0.4213520017501641
-116.29,33.72,5.0,3584.0,760.0,1097,470,3,167400.0,0.4284412032816773
-116.3,33.68,10.0,2387.0,481.0,863,304,3,137500.0,0.3522595596755504
-116.31,34.13,20.0,2352.0,556.0,1217,481,2,55400.0,0.3952341824157765
-116.31,33.67,15.0,2214.0,410.0,1152,350,3,93400.0,0.3038194444444444
-116.31,33.67,11.0,4686.0,851.0,2466,731,3,91800.0,0.2964314679643147
-116.31,33.66,7.0,4497.0,831.0,2248,713,4,98000.0,0.31717081850533807
-116.32,34.14,18.0,1880.0,487.0,994,425,2,54200.0,0.4275653923541248
-116.32,34.1,10.0,4256.0,861.0,1403,686,3,81000.0,0.488952245188881
-116.32,33.28,19.0,1791.0,367.0,327,185,3,100000.0,0.5657492354740061
-116.33,34.15,13.0,1808.0,411.0,735,320,2,57400.0,0.43537414965986393
-116.33,33.75,5.0,19107.0,3923.0,2880,1376,4,158500.0,0.4777777777777778
-116.33,33.72,11.0,12327.0,2000.0,2450,1139,7,353100.0,0.4648979591836735
-116.34,33.36,24.0,2746.0,514.0,731,295,3,176400.0,0.40355677154582764
-116.35,34.13,9.0,1969.0,406.0,805,349,2,62300.0,0.4335403726708075
-116.35,32.74,16.0,2595.0,606.0,1046,367,2,110700.0,0.3508604206500956
-116.36,33.88,11.0,12557.0,3098.0,2453,1232,2,78500.0,0.5022421524663677
-116.37,33.72,17.0,8626.0,1859.0,3497,1337,3,121300.0,0.38232770946525596
-116.37,33.69,7.0,8806.0,1542.0,858,448,8,318100.0,0.5221445221445221
-116.37,33.19,12.0,4890.0,1152.0,1289,570,3,98700.0,0.4422032583397983
-116.38,34.2,14.0,4985.0,1238.0,2517,954,2,65000.0,0.37902264600715135
-116.38,34.1,6.0,2104.0,348.0,841,320,4,116300.0,0.380499405469679
-116.38,33.74,7.0,17579.0,3479.0,3581,1820,4,194500.0,0.5082379223680537
-116.38,33.73,10.0,11836.0,2405.0,3811,1570,4,134500.0,0.4119653634216741
-116.38,33.71,17.0,12509.0,2460.0,2737,1423,5,258100.0,0.5199123127511874
-116.39,34.15,15.0,5583.0,1149.0,2709,964,2,73300.0,0.3558508674787745
-116.39,33.82,15.0,11115.0,2257.0,4122,1653,3,74400.0,0.40101892285298396
-116.39,33.72,19.0,7646.0,1618.0,2496,1075,4,128000.0,0.4306891025641026
-116.39,33.69,10.0,11659.0,2007.0,2186,1083,7,238800.0,0.4954254345837146
-116.4,34.12,16.0,5648.0,1089.0,2524,1008,3,78000.0,0.3993660855784469
-116.4,34.09,9.0,4855.0,872.0,2098,765,3,97800.0,0.3646329837940896
-116.4,33.78,8.0,3059.0,500.0,612,208,7,259200.0,0.33986928104575165
-116.41,33.74,25.0,2475.0,476.0,910,387,3,168800.0,0.42527472527472526
-116.41,33.74,17.0,4289.0,893.0,958,440,2,177800.0,0.4592901878914405
-116.42,33.79,12.0,7095.0,1260.0,1179,570,5,285000.0,0.48346055979643765
-116.42,33.76,14.0,16921.0,2837.0,2524,1262,8,341700.0,0.5
-116.42,33.68,15.0,3895.0,782.0,900,529,2,138300.0,0.5877777777777777
-116.42,33.51,26.0,186.0,48.0,102,39,3,103100.0,0.38235294117647056
-116.43,34.1,17.0,6683.0,1296.0,2677,1227,2,84000.0,0.4583488980201718
-116.43,33.81,8.0,6710.0,1343.0,2069,781,4,115100.0,0.37747704204929916
-116.43,33.75,24.0,2596.0,438.0,473,237,4,500001.0,0.5010570824524313
-116.44,34.16,19.0,1867.0,361.0,758,321,3,98100.0,0.4234828496042216
-116.44,34.12,18.0,5584.0,1303.0,2250,1158,2,72400.0,0.5146666666666667
-116.44,33.93,17.0,5293.0,1266.0,1201,599,2,88400.0,0.4987510407993339
-116.44,33.77,18.0,4872.0,1110.0,955,656,2,97500.0,0.6869109947643979
-116.44,33.74,5.0,846.0,249.0,117,67,8,403300.0,0.5726495726495726
-116.45,33.8,9.0,5534.0,1206.0,2283,1008,4,99100.0,0.44152431011826543
-116.45,33.78,16.0,5228.0,992.0,1177,639,3,134600.0,0.5429056924384027
-116.45,32.65,22.0,2680.0,643.0,1644,516,2,127100.0,0.31386861313868614
-116.46,33.82,6.0,4863.0,920.0,3010,828,4,104200.0,0.2750830564784053
-116.46,33.78,33.0,2565.0,745.0,2301,638,3,83000.0,0.27727075184702304
-116.47,34.07,22.0,5473.0,1234.0,2581,1098,2,65300.0,0.4254165052305308
-116.47,33.94,18.0,2233.0,471.0,919,388,3,85200.0,0.42219804134929273
-116.47,33.84,3.0,9169.0,1512.0,3838,1270,4,142500.0,0.33090151120375194
-116.47,33.81,7.0,10105.0,2481.0,6274,2095,2,90900.0,0.3339177558176602
-116.47,33.78,27.0,1781.0,441.0,759,340,3,113600.0,0.4479578392621871
-116.48,33.94,10.0,3254.0,913.0,923,486,2,81000.0,0.5265438786565547
-116.48,33.79,14.0,9425.0,2020.0,1711,1000,3,145200.0,0.5844535359438925
-116.48,33.61,8.0,1294.0,272.0,457,199,3,115300.0,0.43544857768052514
-116.49,33.82,27.0,3316.0,636.0,2362,532,3,65900.0,0.2252328535139712
-116.49,33.8,13.0,8789.0,1875.0,1274,688,4,148900.0,0.5400313971742543
-116.5,33.98,5.0,4332.0,868.0,1420,567,4,146400.0,0.39929577464788735
-116.5,33.95,10.0,7249.0,1882.0,4274,1621,2,66600.0,0.3792700046794572
-116.5,33.82,16.0,343.0,85.0,29,14,2,87500.0,0.4827586206896552
-116.5,33.81,26.0,5032.0,1229.0,3086,1183,3,94800.0,0.3833441348023331
-116.5,33.69,20.0,4810.0,1074.0,1304,740,2,248100.0,0.5674846625766872
-116.51,34.85,15.0,3149.0,713.0,1281,486,2,64700.0,0.3793911007025761
-116.51,34.45,21.0,8502.0,2634.0,2330,991,1,51300.0,0.4253218884120172
-116.51,33.96,16.0,4913.0,1395.0,2518,1132,1,61100.0,0.4495631453534551
-116.51,33.94,12.0,3369.0,780.0,1315,584,2,66000.0,0.444106463878327
-116.51,33.89,21.0,1284.0,306.0,537,233,2,61000.0,0.4338919925512104
-116.52,33.97,13.0,3921.0,754.0,1902,665,3,89600.0,0.34963196635120924
-116.52,33.85,13.0,7559.0,1444.0,3189,1105,3,112500.0,0.3465036061461273
-116.52,33.84,17.0,4465.0,859.0,853,445,4,130400.0,0.5216881594372802
-116.52,33.82,21.0,10227.0,2315.0,3623,1734,3,145200.0,0.4786088876621584
-116.52,32.9,18.0,4454.0,852.0,1754,656,5,189900.0,0.37400228050171036
-116.53,33.95,18.0,2990.0,648.0,1280,532,3,68200.0,0.415625
-116.53,33.88,5.0,4423.0,763.0,1906,667,5,125200.0,0.34994753410283314
-116.53,33.85,16.0,10077.0,2186.0,3048,1337,3,110900.0,0.4386482939632546
-116.53,33.84,28.0,8399.0,1839.0,3470,1340,3,159000.0,0.3861671469740634
-116.53,33.78,18.0,2547.0,463.0,411,214,3,220500.0,0.5206812652068127
-116.54,33.81,31.0,6814.0,1714.0,2628,1341,2,124100.0,0.5102739726027398
-116.54,33.81,24.0,6087.0,1217.0,1721,833,3,199400.0,0.48402091807088904
-116.54,33.8,22.0,6050.0,1387.0,1432,890,2,183900.0,0.6215083798882681
-116.54,33.79,18.0,9374.0,1780.0,1678,919,4,235600.0,0.5476758045292014
-116.55,33.84,28.0,2992.0,562.0,676,346,6,500001.0,0.5118343195266272
-116.56,34.06,15.0,6928.0,1529.0,2568,1075,3,69600.0,0.41861370716510904
-116.56,33.83,36.0,1765.0,399.0,451,264,3,321900.0,0.5853658536585366
-116.56,33.05,15.0,1985.0,361.0,536,209,4,148200.0,0.38992537313432835
-116.57,35.43,8.0,9975.0,1743.0,6835,1439,3,22500.0,0.2105340160936357
-116.57,34.0,20.0,260.0,67.0,69,50,4,76600.0,0.7246376811594203
-116.57,33.94,29.0,551.0,166.0,224,107,1,50000.0,0.47767857142857145
-116.57,33.84,18.0,7962.0,1652.0,2009,921,3,230200.0,0.45843703334992536
-116.57,33.64,10.0,489.0,82.0,183,74,6,345500.0,0.40437158469945356
-116.58,32.69,19.0,4085.0,876.0,2133,718,3,116500.0,0.336615096108767
-116.6,33.49,16.0,3730.0,827.0,1346,592,2,113500.0,0.4398216939078752
-116.6,33.06,23.0,1731.0,365.0,612,258,3,172900.0,0.4215686274509804
-116.61,33.04,11.0,2522.0,538.0,616,269,4,198100.0,0.4366883116883117
-116.62,34.23,14.0,6438.0,1719.0,1586,691,2,67400.0,0.43568726355611603
-116.62,32.86,18.0,4115.0,847.0,2032,745,4,169100.0,0.36663385826771655
-116.66,32.79,13.0,843.0,157.0,918,152,6,240600.0,0.1655773420479303
-116.67,32.97,16.0,349.0,74.0,120,43,5,193800.0,0.35833333333333334
-116.68,33.71,21.0,3460.0,711.0,658,255,4,161100.0,0.38753799392097266
-116.68,33.16,26.0,1820.0,374.0,1001,324,2,156300.0,0.32367632367632365
-116.71,33.94,12.0,549.0,109.0,209,90,3,66300.0,0.430622009569378
-116.72,34.89,14.0,4527.0,875.0,1640,590,3,81700.0,0.3597560975609756
-116.72,33.56,13.0,3166.0,682.0,1250,475,2,122900.0,0.38
-116.74,33.62,11.0,2385.0,661.0,682,242,3,214300.0,0.3548387096774194
-116.74,33.33,17.0,4190.0,946.0,1802,673,2,158200.0,0.3734739178690344
-116.75,33.83,16.0,5277.0,1070.0,657,276,3,143400.0,0.4200913242009132
-116.75,32.85,17.0,4863.0,845.0,2266,769,4,217400.0,0.3393645189761695
-116.75,32.82,17.0,3348.0,481.0,1222,443,7,308600.0,0.3625204582651391
-116.76,34.29,14.0,3959.0,849.0,1064,376,3,111400.0,0.3533834586466165
-116.76,34.14,4.0,42.0,10.0,9,3,1,42500.0,0.3333333333333333
-116.76,33.46,6.0,1251.0,268.0,544,216,3,173400.0,0.39705882352941174
-116.76,32.84,16.0,3311.0,702.0,1627,624,3,187200.0,0.3835279655808236
-116.76,32.74,14.0,4085.0,751.0,2129,688,5,214500.0,0.3231564114607797
-116.77,33.92,19.0,2307.0,525.0,1266,437,2,63000.0,0.3451816745655608
-116.78,33.0,7.0,12480.0,1946.0,5102,1697,6,221000.0,0.33261466091728736
-116.79,33.99,16.0,319.0,68.0,212,67,1,90000.0,0.3160377358490566
-116.79,32.84,12.0,4281.0,786.0,1891,721,4,231800.0,0.3812797461660497
-116.79,32.61,19.0,2652.0,520.0,1421,491,4,206100.0,0.34553131597466574
-116.8,33.8,35.0,324.0,63.0,158,39,3,100000.0,0.2468354430379747
-116.8,32.8,11.0,3874.0,565.0,1672,546,6,274600.0,0.326555023923445
-116.82,34.24,11.0,5799.0,1527.0,713,262,3,84700.0,0.36746143057503505
-116.83,34.25,15.0,8948.0,1985.0,1316,514,3,90800.0,0.3905775075987842
-116.83,32.83,6.0,3123.0,495.0,1513,480,5,167800.0,0.3172504957038995
-116.84,33.01,5.0,5673.0,855.0,2592,797,5,199200.0,0.3074845679012346
-116.84,32.92,20.0,1066.0,219.0,536,173,3,119300.0,0.32276119402985076
-116.84,32.86,16.0,2502.0,532.0,1211,494,3,202100.0,0.4079273327828241
-116.85,34.98,26.0,3606.0,792.0,1683,608,3,57400.0,0.3612596553773024
-116.85,34.25,5.0,5806.0,1030.0,569,219,4,163100.0,0.38488576449912126
-116.85,32.83,17.0,4234.0,770.0,2191,725,4,197600.0,0.3308991328160657
-116.86,34.23,13.0,4760.0,938.0,309,132,5,147800.0,0.42718446601941745
-116.86,33.97,11.0,658.0,131.0,376,120,2,58000.0,0.3191489361702128
-116.86,33.84,18.0,521.0,118.0,174,74,3,91100.0,0.42528735632183906
-116.86,33.73,13.0,2604.0,443.0,978,417,3,170700.0,0.4263803680981595
-116.86,33.05,17.0,9044.0,1689.0,5030,1596,4,164500.0,0.3172962226640159
-116.86,33.02,17.0,401.0,68.0,251,69,5,170200.0,0.2749003984063745
-116.86,32.87,17.0,5799.0,921.0,2630,843,5,285400.0,0.32053231939163496
-116.86,32.8,19.0,1747.0,291.0,848,290,5,187200.0,0.3419811320754717
-116.87,33.94,35.0,4448.0,906.0,2736,843,2,73400.0,0.3081140350877193
-116.87,33.93,32.0,3141.0,812.0,2589,721,1,54600.0,0.2784859018926226
-116.87,33.76,5.0,4116.0,761.0,1714,717,3,130800.0,0.41831971995332556
-116.87,33.57,12.0,1153.0,265.0,446,195,3,128100.0,0.437219730941704
-116.87,32.75,15.0,2053.0,321.0,993,309,6,248900.0,0.311178247734139
-116.87,32.72,13.0,3268.0,491.0,1431,503,6,259900.0,0.35150244584206847
-116.88,34.25,11.0,1089.0,198.0,230,90,5,176000.0,0.391304347826087
-116.88,34.24,13.0,4137.0,796.0,573,218,5,226500.0,0.38045375218150085
-116.88,34.19,38.0,898.0,259.0,106,52,2,225000.0,0.49056603773584906
-116.88,34.08,52.0,3419.0,777.0,710,265,4,128600.0,0.3732394366197183
-116.88,33.93,37.0,1495.0,429.0,865,342,1,55000.0,0.3953757225433526
